Item #,Question / Issue / Action,Raised By,Status,Parent Issue (if Cascading),Priority,Area,Type,Topic,"Notes

INCLUDE JOB ID & Customer Name FOR ALL ISSUES","Log URL

Add URL for log on GDrive","Impact

What # of components or records are erroring? Is there a manual workaround?",Orgs,Response,"Jira ID 
(Product Only)",Release,Release Date,EA Critical Issue?,G17 Critical Issue?,Stack,NA EA Stack,EU EA Stack,GSK Stack,Bayer Stack,Novo Stack,Scaling Item,Scaling Stack,# G17 Impacted,# E32 Impacted,# SMB Impacted,Critical Issue?,Date Created,Date Closed,Days Open,Hyperlink,Row
Item-423,Option to skip __share & __history objects in the data extract,Ben,2. Needs Answer,,2 Medium,Migrator,Enhancement,ETL - Data,"To speed up Data ETL, please can we have an option to skip __share and __history tables in the data extract task? It should be off by default",,,All,,,,,,,10,,,,,,,,,,,,11/25/2025,,39,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=12:12,12
Item-407,Include ATL records in migrator,Mimi Wilder,5. Pending Fix,,2 Medium,Migrator,Enhancement,ETL - Data,"ATL records are not in scope for migrator but given they are missing, customers (and consultants) and messing up their alignments since they expect them to be there.  Even though they aren't needed, we are generally loading them with triggers off manually and it would be easier if migrator brought them over",,,All,,https://jira.veevadev.com/browse/VCRM-120287,253.2.10, 22 Jan 26,,,11,,,,,,,,,,,,10/23/2025,,72,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=13:13,13
Item-363,Update auto numbers with migrator,Mimi Wilder,4. Roadmap,,2 Medium,Migrator,Enhancement,ETL - Data,Services has a tool that updates the auto number start on autonumbered objects but it is another thing to remember to run. Could migrator handle this as an after each delta,,Manual workaround is services tool,All,,https://jira.veevadev.com/browse/VCRM-118996,,,,,12,,,,,,,,,,,,07/24/2025,,163,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=14:14,14
Item-435,Call Pull-in fields did not migrate,Regan,4. Roadmap,,2 Medium,Migrator,Issue,ETL - Metadata,"MIgration Name: 2025-10-17 NNI CA Vault CRM Rebuild
MIgration ID: V6000000004J007
Customer: Novo Nordisk Canada

Call Pull-in Fields did not migrate over (zvod_ADS_NNI_CA_ShippingNote__c, zvod_ADS_NNI_CA_Shipping_Location_Name__c, zvod_ADS_NNI_Location_Name__c, zvod_ADS_NNI_Transport_Type__c,zvod_ADS_NNI_CA_Attention_To__c). These fields were NOT included in the ignore or override lists. These fields are used in conjusction with the UPS integration to give additional details for BRC delivery. ",,"~52,500 records are impacted by this (2 year data filter). We can manually recerate the fields and load in data to backfill. These fields are not included in the field transformation mapping provided to integration partners since they were not created, though we can provide this in post ",Novo CA,,https://jira.veevadev.com/browse/VCRM-125790,253.2.10, 22 Jan 26,,,13,,,,,,,,1,0,0,,12/11/2025,,23,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=15:15,15
Item-438,Flag users with #@ in their usernames for Review in user input file,Mimi Wilder,3. Product Follow-up,,2 Medium,Migrator,Enhancement,ETL - Metadata,Issue is that this could be indicative of NOT needing a new user but a poor match for some reason and we should be looking at these.  We could add this to the education but it would be better if we just flagged them as Reviewed = FALSE,,,All,,,,,,,14,,,,,,,,,,,,12/13/2025,,21,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=16:16,16
Item-419,Object with over 50 Custom Layouts per Object Type not displayed in discovery output,Sam Hawtin,2. Needs Answer,,2 Medium,Migrator,Issue,Discovery,"Customer: Astellas 
Job ID: Discovery - 71b18234-7fb4-465a-8 
Metadata ETL: 84fd2fcf-e5b1-4a4f-a

When running Discovery for Astellas Japan, there were no items in the discovery file that indicated there were no lines to indicate that the limit of 50 custom layouts for an object type would be reached. After checking Metadata ETL file we had 37 Metadata failures ""Maximum of 50 custom layouts allowed per object type"" 

","Metadata ETL 
Discovery",The action to resolve this needs to be presented to the customer before running Metadata ETL for tehm to reduce layouts/populate the ignore list,Astellas Japan,,,,,,,15,,,,,,,,0,1,0,,11/12/2025,,52,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=17:17,17
Item-429,add a Project lifecycle so that we can set projects to complete or cancelled,Ben,3B. Sevices Follow-up,,2 Medium,Migrator,Enhancement,Methodology,,,,All,,,,,,,16,,,,,,,,,,,,12/06/2025,,28,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=18:18,18
Item-395,Validation Rules not migrated and not on Discovery or Metadata ETL Sheets,Salman,5. Pending Fix,,3 Low,Migrator,Issue,ETL - Metadata,"Migrator is not bringing over a Valid, Active, Non-standard Validation Rule and it is not appearing as an issue in Discovery, or Metadata ETL but is appearing as a mapped validation rule in the Metadata Mapping file, so thinking it should be coming over.

Link to Discovery - https://migrator.veevavault.com/ui/#t/0TB00000000R016/V64/V6400000004C184 
Link to Metadata - https://migrator.veevavault.com/ui/#t/0TB00000000R016/V64/V6400000004C188 
Link to Metadata in Data - https://migrator.veevavault.com/ui/#t/0TB00000000R016/V64/V6400000004D230

The following 2 active validation rules on the call2_discussion__v object did not migrate:
EnhertuBC_Indication_check
DatrowayBC_Indication_check

ET 10/31: The issue is with a picklist value being checked in the validation, so the migrator doesn't know during discovery that the validation rules cannot be migrated. Migrator will know that it failed once metadata runs. Salman, please confirm if this validation rule was actually running in SFDC.",,"The following 2 active validation rules on the call2_discussion__v object did not migrate:
EnhertuBC_Indication_check
DatrowayBC_Indication_check

We can manually recreate them, however we are concerned that there are other instances such as these that will only be discovered through testing.",Endo Pharma,,https://jira.veevadev.com/browse/VCRM-113489,253.2.10, 22 Jan 26,,,,,,,,,,,0,0,1,,10/04/2025,,91,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=19:19,19
Item-399,Can we have migrator Discovery identify any non external id standard fields set to unique in Veeva CRM so we can determine if this will be an issue and how to address in advance,Mimi Wilder,9. Parked,,3 Low,Migrator,Enhancement,Discovery,With Mayne we found that they had made NPI_vod__c unique in CRM even though it isn't an external id.  It caused issues in Vault because it wasn't unique.  We got the okay to turn on the ability to toggle that but ideally we could identify these ahead of time if Discovery flags the standard fields that ARE NOT external ids/unique in Vault CRM but ARE set to unique in SF,,,All,,https://jira.veevadev.com/browse/VCRM-123792,253.2.10, 22 Jan 26,,,,,,,,,,,,,,,10/15/2025,12/13/2025,59,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=20:20,20
Item-413,Populate city_cda__v via Veeva Trigger,Sandor,3. Product Follow-up,,3 Low,Vault CRM,Enhancement,ETL - Data,"As I mentioned on the last call, there will be a large number of migrating customers in EU that are leveraging QS fields in Veeva CRM to display the primary address infromation on Account. To my understanding when we migrate we should standardize customizations as much as we can, and this is a small imporvement which we could do.

Would be good to understand two things, so that we can advise Services people accordingly.: 1. is city_cda__v (Primary City) populated via a Veeva trigger? 2. Is there any plan on having a Primary Address field on Account that is populated with the Address line 1 information?

7/7: Reopen with Support -- need to determine if it's being done or not. It should be handled by the trigger. If it is not, need to understand why it is not. Will circle back on this in next meeeting.

8/4: Uri will consider this for potential roadmap. Will continue to create custom fields as needed in the meantime.",,,All,,,,,,,,,,,,,,,,,,,10/30/2025,,65,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=21:21,21
Item-415,Remove record counts for  __share and __history tables in Disco report,Ben,5. Pending Fix,,3 Low,Migrator,Enhancement,ETL - Data,"Please remove the record counts for sfdc __share and __history tables in the Disco report, Record Counts tab",,,All,,https://jira.veevadev.com/browse/VCRM-120660,253.2.10, 22 Jan 26,,,,,,,,,,,,,,,11/08/2025,,56,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=22:22,22
Item-431,"error on data etl due to space in the profile name in salesforce, caused security profile, layout profile, and application profile to fail due to double __",Ben G,1. Triage,,3 Low,Migrator,Enhancement,ETL - Metadata,"Migration name: Curium Initial Run 2025-11-20
Customer: Curium
Job id: a64894fa-fbdf-4a0b-9
Migration id: V6000000004T010",,"need to manually fix through mdl, figured migrator could recoginze this and remove the extra _ so we dont have to fix this manually",Curium - Veeva CRM,,,,,,,,,,,,,,,0,0,1,,12/10/2025,,24,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=23:23,23
Item-422,Add Discovery item to flag any objects with > 50 custom inbound relationships for each object & > 30 custom outbound relationships for each object & > 80 custom inbound relationships for the User object,Sam,5. Pending Fix,,3 Low,Migrator,Enhancement,Discovery,"When running discovery for Astellas US, there were no items indicating that the org was over the limit on custom tabs or that there were numerous objects that were over the limit for custom inbound relationships. We were unaware that we had hit those limits until we checked the results of Metadata ETL. Is it expected that these do not show up in discovery? Would it be possible to include them in the output? 

Discovery
Job ID - 45168183-53ea-4842-a

Metadata
Job ID - 353f14bf-57c7-4ccd-b
","Link to Discovery

Link to Metadata ETL","As this error was not corrected before metadata, fields and tabs failed due to limits which led to a cascade of child errors and the Vault we migrated into was unusable. ",Astellas,,https://jira.veevadev.com/browse/VCRM-123779,253.2.10, 22 Jan 26,,,,,,,,,,,0,1,0,,11/20/2025,,44,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=24:24,24
Item-424,Change the Picklist value syntax in the Discovery to match the Override / Ignore list syntax,Niki,4. Roadmap,,3 Low,Migrator,Enhancement,Discovery,"Replace "" - "" with ""."" for Picklist type of Discovery items. 
For example: Call2_Discussion_vod__c.Disease_State_Proactive_Deck_Picklist__c - Leave-behind: Inside the Science Understanding PsA
To be changed to: Call2_Discussion_vod__c.Disease_State_Proactive_Deck_Picklist__c.Leave-behind: Inside the Science Understanding PsA",,,All,,,,,,,,,,,,,,,,,,,11/25/2025,,39,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=25:25,25
Item-425,"In case of special characters in Discovery, like ( ), keep the characters instead of the encoding",Niki,5. Pending Fix,,3 Low,Migrator,Enhancement,Discovery,"BMS used a lot of ( ) in their page layouts, all those are shown as %28 and %29 in the Discovery report. This is also used for the Override / Ignore lists, so it would help a lot with the preparation if we could just copy-paste them from the report.

Discovery Job id: 73e30324-5d22-46ca-8",,,Gilead,,https://jira.veevadev.com/browse/VCRM-123804,253.2.10, 22 Jan 26,,,,,,,,,,,1,0,0,,11/25/2025,,39,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=26:26,26
Item-368,Migrate Search Layouts,Ben,4. Roadmap,,3 Low,Migrator,Enhancement,ETL - Metadata,,,,All,,,,,,,,,,,,,,,,,,,07/31/2025,,156,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=27:27,27
Item-440,Error Type UNEXPECTED_ERROR An unexpected error occurred.;,Ben G,3B. Sevices Follow-up,,2 Medium,Migrator,Enhancement,ETL - Data,"Migration name: CRM: 2025-12-12 - Curium CRM Prod - Curium Vault CRM SBX V3
Customer: Curium
Job id: 0437cc66-38cf-4e0d-a
Migration id: V60000000056002",,"501 errors occured on account object with error: Error Type UNEXPECTED_ERROR An unexpected error occurred.;

looks to be similar to resolved item 323",Curium - Veeva CRM,"[AK 12/15] run a delta to see if it's resolved on a delta. If it still happens, ping me. It's not Migrator error, it's vault throwing an error back when something goes wrong. Majority of them are resolved on the next try",,,,,,,,,,,,,,0,0,1,,12/15/2025,,19,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=28:28,28
Item-443,Missing TOPICS in SIT Environment for the following products: HERNEXEOS & Idiopathic pulmonary fibrosis,Anabella B,8. Resolved,,1 High,Migrator,Issue,ETL - Data,"Topics are missing from the SIT envrionment. The below missing topics are related to one specific Product (HERNEXEOS), other Event Topics were successfully migrated. HERNEXEOS did have 1 Event Topic come through to Vault.

Examples below: 
2025 Disease State ILD Pulm-Rad Combo Speaker Deck (external id: IPF_LONG_37)
2025 Disease State ILD Rheum-Rad Combo Speaker Deck (external id: IPF_LONG_38
)

Data Loading job does not show any errors on EM_Catalog__v.

Migration Name: SIT SBX - BI US
Customer: BI
Migration ID: V60000000042005",,Downstream Events Logistics vendor is looking for this these topics to test Events flow,BI Child 1,"[AK 12/22] Records were filtered out based on a reference to Survey that is outside of data range. This migration was performed on 25.2, the change to filter based on master-detail only in split org scenario was done in 25.3 (see https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=946423224#gid=946423224&range=A392)",,,,,,,,,,,,,,1,0,0,,12/23/2025,12/23/2025,0,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=29:29,29
Item-444,record_type__v historical values,Salman D,0. Rejected,,2 Medium,Migrator,Issue,Translation,"For objects that have the record_type__v field, such as Suggestions, historical values come over with '_vod"" whereas new values are created with '__v'. This discrepancy is creating issues for DSI's X-Page dev as they need to account for both record_type__v values in their queries. They also can't use object_type__vr.api_name__v as field relationships are not supported in X-Page queries and the getObjecTypes() method (https://developer.veevacrm.com/doc/Content/CRM_topics/Vault/x-pages-library.htm#getObjectTypesobjectincludeInactive) is not available in Studio.

Example:
-Object: suggestion__v
-migrated record: id = VBYZ04ASG4BRIWX --> record_type_name__v = Call_vod
-new record after migration: id = VBY000000002783 --> record_type_name__v = call__v

The request is to have migrator update all record_type_name__v values to the new vault naming convention",https://migrator.veevavault.com/ui/#t/0TB00000000R016/V60/V6000000004R006?expanded=details__c&ivp=1&idx=6&pt=relobj&tvsl=JnZvYmplY3ROYW1lPXZjbV9taWdyYXRpb25fX2MmcGFyZW50RmllbGQ9cHJvamVjdF9fYyZwYXJlbnRJZHMlNUIlNUQ9VjVVMDAwMDAwMDFLMDAyJmZpbHRlckluU3RyaW5nPSZzZWFyY2hUZXJtPSZzb3J0Qnk9bW9kaWZpZWRfZGF0ZV9fdiZzb3J0T3JkZXI9QVNDRU5ESU5HJmdldEluYWN0aXZlUmVjb3Jkcz10cnVlJmZvclJlbGF0ZWRTZWN0aW9uPXRydWUmY2h1bmtTaXplPTI1JmZpbHRlcnM9JmZpZWxkSWRzJTVCJTVEPW1vZGlmaWVkX2J5X192JmZpZWxkSWRzJTVCJTVEPW1vZGlmaWVkX2RhdGVfX3YmZmllbGRJZHMlNUIlNUQ9bmFtZV9fdiZmaWVsZElkcyU1QiU1RD1ub3RlX19jJmZpZWxkSWRzJTVCJTVEPW9iamVjdF90eXBlX192JmZpZWxkSWRzJTVCJTVEPXNvdXJjZV9lbnZpcm9ubWVudF9fYyZmaWVsZElkcyU1QiU1RD1zdGF0ZV9fdiZmaWVsZElkcyU1QiU1RD10YXJnZXRfZW52aXJvbm1lbnRfX2MmZmllbGRJZHMlNUIlNUQ9dmVyc2lvbiZmaWVsZElkcyU1QiU1RD1saWZlY3ljbGVfX3YmcmV0cmlldmVGaWx0ZXJDcml0ZXJpYT0mcmVxdWlyZXNBY2N1cmF0ZVRvdGFsQW1vdW50PXRydWU&_layout=vcm_migration_layout_crm__c&_page=environment_details__c&s=0,"X-page development, the workaround is to include both legacy and new record_type__v values",Daiichi - DSI,,,,,,,,,,,,,,,0,1,0,,12/24/2025,,10,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=30:30,30
Item #,"Question / Issue / Action

SHORT DESCRIPTIVE SENTENCE PLEASE!",Raised By,Status,Parent Issue (if Cascading),Priority,Area,Type,Topic,"Notes

INCLUDE JOB ID & Customer Name FOR ALL ISSUES","Log URL

Add URL for log on GDrive","Impact

What # of components or records are erroring? Is there a manual workaround?",Customers,Response,"Jira ID 
(Product Only)",Release,,EA Critical Issue?,G17 Critical Issue?,,NA EA Stack,EU EA Stack,,Bayer Stack,Novo Stack,Scaling Item,,# G17 Impacted,# E32 Impacted,# SMB Impacted,Critical Issue?,Date Created,Date Closed,Days Open,Hyperlink,
Item-40,Users will error and fail migration if migrated to the same domain twice,Ben,8. Resolved,,1 High,Migrator,Issue,ETL - Data,"Users are created at domain level and are not deleted when a SBX is refreshed. If a 2nd data load is performed by Migrator then Users will fail and stop the rest of the data load

---
10/24: Todd is working on this. Ben is potentially working on custom domains in the meantime.
11/8: We need to think about handling this in a scalable way until the product feature is released since we will need to do things like:
-My Setup
-Territory Alignment
-Manual Group Assignment
-Ownership Updates (calls, MIs, etc.)
11/11: Can this be fixed in time for early adopters go-live before our Production deployments? First go-live is 12/16 with the Production deployment runs targeted for 12/13 (post R3).",,"Custom domain SBX needed for each migration. 

If not fixed, then migration to FULL or PROD in customer domain can only happen once - no chance to refresh and go again",All,"Pls provide a resolution timeline

USers via loading file - no date yet - workaround is custom domains",https://jira.veevadev.com/browse/VCRM-47108,Domain Users Hotfix, 13 Dec 24,Yes,Yes,,,,,,,,,,,,Yes,10/24/2024,12/17/2024,54,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=2:2,2
